2022,2021,Change,Company,Ownership,Industry,Rs cr,YoY change %,Rs cr,YoY change %,Rs cr,Rank,YoY change %,% of total income,Rs cr,% of Ebitda,Rs cr,Rs cr,(x),Rs cr,Rank,YoY change %,Rs cr,Rank,(%),(%),(in nos),Rank,RS Crore,(%)
228,NAP,R-E 2020,"Jayaswal Neco Inds.
                                                      ^^",Arbind Jayaswal,Metals,7765,112.45,5959,60.82,2247,85,0,28.94,459,35.3,485,3845,2.1,5679,278,130.22,1833,379,75.9,22.79,4119,194,2434,-22.15
229,175,-54,Reliance Power,Anil Ambani,Power,7695,-8.61,7503,-5.43,-606,475,0,NAP,2349,86.32,645,23114,1.85,39278,109,-5.24,12463,120,NAP,NAP,8093,124,4859,14.86
230,207,-23,Endurance Technologies,Anurang Jain,Auto Ancillaries,7685,16.54,7549,15.31,461,277,-11.35,6,6,0.68,403,430,0.11,4419,319,3.12,3920,257,12.31,13.61,3588,212,20190,-26.34
231,NAP,R-E 2018,Alok Industries,Mukesh Ambani & JM Financial,Textiles & Garments,7632,-17.37,7310,89.98,-209,465,0,NAP,476,84.43,59,24102,0,6476,265,-1.13,-17907,497,NAP,NAP,26231,39,11357,-32.29
232,173,-59,"South Indian Bank
                                                      ^^","Diversified
                                              *",Banking,7620,-10.71,6587,-9.84,45,436,-27.62,0.59,4347,NAP,11203,92436,0,100191,57,6.3,5854,201,0.76,0.05,9219,108,1802,44.67
233,205,-28,Birla Corporation,M.P. Birla Group,Cement,7588,11.42,7461,9.96,399,299,-36.75,5.25,243,22.65,138,4326,0.72,11167,196,6.87,5103,221,8.16,7.86,NAVL,NAP,8650,-37.72
234,237,3,Kansai Nerolac Paints,MNC,FMCG,7532,27.65,7214,25.33,359,315,-32.26,4.76,29,4.4,106,203,0.05,4469,316,2.97,4132,244,8.38,11.54,3105,231,26286,-11.7
235,201,-34,Escorts Kubota,MNC,Auto,7523,6.79,7238,3.19,736,211,-15.49,9.79,15,1.62,272,52,0.01,7726,237,48.93,7600,164,11.65,15.6,3823,203,23163,32.69
236,208,-28,Jaiprakash Associates,Jaiprakash Gaur,Diversified,7453,14.03,7034,9.81,-1478,489,0,NAP,1069,NAP,481,19097,225.57,26817,128,-1.55,85,479,NAP,NAP,5893,154,2253,11.58
237,140,-97,Edelweiss Financial Services,Rashesh Shah & Associates,Securities Trading,7401,-31.78,7243,-32.78,189,390,-28.85,2.55,2984,NAP,3039,22711,3.47,30303,121,-16.09,6537,183,3.23,10,NAVL,NAP,5855,-23.27
238,236,-2,PNC Infratech,P.K. Jain,Engineering & Construction,7297,23.78,7208,24.54,580,241,16.65,7.95,425,27.75,747,4793,1.32,9376,220,11.68,3628,271,17.37,13.86,8796,114,6857,-20.68
239,287,48,Aarti Industries,Chandrakant Gogri,Basic Materials,7262,59.25,7000,55.34,1307,127,149.72,18,114,5.93,257,2594,0.44,8733,224,32.65,5914,199,27.77,21.45,NAVL,NAP,31277,-18.65
240,233,-7,"ABB India
                                                      ^^",MNC,Capital Goods,7248,21.41,6934,19.12,520,258,137.07,7.17,19,3.39,2688,37,0.01,4137,330,12.72,4045,248,11.3,15.64,4075,197,51911,46.77
241,222,-19,"Hexaware Technologies
                                                      ^",MNC,Infotech,7245,15.05,7178,14.62,749,209,20.49,10.34,37,3.29,1201,50,0.01,4270,324,7.51,3788,265,21.32,23.75,17569,72,NAP,NAP
242,185,-57,Karnataka Bank,"Diversified
                                              *",Banking,7176,-6.04,6222,-0.17,508,263,5.29,7.08,3731,NAP,4437,82701,0,92130,61,7.47,6635,179,7.93,0.57,8520,121,2127,45.91
243,229,-14,"Barclays Global Service Centre
                                                      ^^ ^",MNC,IT services,7128,16.13,7052,16.65,591,240,3.64,8.29,149,12.05,630,950,1.37,2821,389,-7.34,693,458,69.61,32.52,NAVL,NAP,NAP,NAP
244,268,24,Polyplex Corporation,Sanjiv Saraf,Packaging,7113,41.68,6624,34.69,569,245,11.13,8,17,1.26,906,946,0.29,6289,268,13.86,3316,284,30.29,28.9,NAVL,NAP,6596,3.99
245,286,41,Trident,Rajinder Gupta,Textiles & Garments,7107,55.78,6998,54.45,834,187,173.91,11.73,86,5.7,292,1597,0.42,5445,286,11.35,3845,261,23.25,23.27,14998,85,23747,-10.59
246,228,-18,Shriram City Union Finance,Shriram Group,NBFC,7077,14.86,7073,14.99,1152,143,8.3,16.27,2829,NAP,6842,34541,3.72,43992,100,18.05,9278,144,13.19,10.87,27997,31,11921,-13.94
247,249,2,"India Yamaha Motor
                                                      ^",MNC,Auto,7061,28.18,6884,29.32,38,442,0,0.54,33,7.67,14,500,0.24,2716,394,0.23,2073,358,1.62,6.18,NAVL,NAP,NAP,NAP
