2022,2021,Change,Company,Ownership,Industry,Rs cr,YoY change %,Rs cr,YoY change %,Rs cr,Rank,YoY change %,% of total income,Rs cr,% of Ebitda,Rs cr,Rs cr,(x),Rs cr,Rank,YoY change %,Rs cr,Rank,(%),(%),(in nos),Rank,RS Crore,(%)
1,1,0,Reliance Industries,Mukesh Ambani,Oil & Gas,739518,43.81,699962,49.91,60705,1,23.56,8.21,14584,13.21,36178,319158,0.41,1222627,8,11.54,779485,1,9.17,9.36,342982,2,1681013,0.78
2,NAP,NEW,LIC,GoI,Financial Services,724744,2.99,723606,4.73,4125,57,38.69,0.57,0,NAP,44724,0,0,4182536,2,11.64,11336,130,45.28,0.31,NAVL,NAP,433115,-30.85
3,3,0,Indian Oil Corporation,GoI,Oil & Gas,607365,62.04,589336,61.93,25102,8,16.01,4.13,4301,9.23,1820,132020,0.99,272852,27,16.36,133535,8,20.97,15.29,31254,26,108577,-13.7
4,4,0,ONGC,GoI,Oil & gas,502474,54.51,491270,61.66,45522,2,179.2,9.06,5696,7.32,6841,121986,0.47,444489,17,6.09,259503,3,20.52,14.62,27165,36,188068,-6.05
5,2,-3,State Bank of India,GoI,Banking,406973,5.61,289973,4.26,35374,6,57.88,8.69,156194,NAP,398905,4536571,0,5371426,1,10.64,282210,2,13.61,0.69,245652,6,447533,13.04
6,6,0,Bharat Petroleum Corporation,GoI,Oil & Gas,355772,47.36,346791,50.67,11682,26,-27.74,3.28,2606,13.62,2237,64534,1.24,118219,55,7.94,51906,33,22.15,16.37,8594,118,76165,-24.86
7,5,-2,Tata Motors,Tata Group,Auto,280027,12.7,278454,11.47,-11441,499,0,NAP,9312,38.83,40669,146449,3.29,221106,38,-2.78,44561,41,NAP,1.04,25588,43,160911,-15.05
8,9,1,Tata Steel,Tata Group,Iron & Steel,253797,62.32,243959,55.91,40154,3,436.08,15.82,5462,8.73,15899,75561,0.66,207633,40,14.42,113546,10,44.54,29.16,35927,24,136734,-21.69
9,13,4,Hindalco Industries,Aditya Birla Group,Metals & Mining,206795,52.63,195059,47.76,13730,19,294.2,6.64,3768,13.64,17392,64486,0.82,152037,44,5.58,78191,17,18.97,15.45,21151,58,101778,-14.3
10,7,-3,Tata Consultancy Services,Tata Group,Infotech,195772,17.01,191754,16.8,38327,4,18.18,19.58,784,1.48,18221,7818,0.09,100023,58,2.98,88651,15,44.13,53.97,592195,1,1265497,-6.89
11,10,-1,HDFC Bank,"Diversified
                                              *",Banking,167695,7.58,135936,5.74,38053,5,19.54,22.69,58584,NAP,155386,1784970,0,2122934,3,17.97,247326,4,16.69,1.94,141579,8,802745,-5.72
12,11,-1,Larsen & Toubro,Diversified,Capital Goods,160962,9.27,156521,15.11,8669,30,-25.15,5.39,9235,37.96,18953,125292,1.52,221833,37,-0.78,82408,16,13,11.3,50267,22,252441,14.15
13,8,-5,ICICI Bank,Diversified,Banking,157536,-2.27,95407,7,25110,7,36.58,15.94,41167,NAP,183126,1252969,0,1756355,4,11.37,178824,6,15.47,1.51,105844,10,541104,13.62
14,24,10,JSW Steel,Savitri Devi Jindal,Iron & Steel,152420,88.69,146371,83.33,20665,11,161.22,13.56,4968,12.98,17383,72208,1.07,144039,47,24.8,67297,21,37.09,26.82,12398,96,156564,0.95
15,12,-3,HDFC,"Diversified
                                              *",NBFC,144938,-0.72,135926,-2.24,22595,9,20.57,15.59,27230,NAP,2629,507460,2.82,700090,14,14.28,179853,5,14.29,8.59,6214,148,439224,-13.39
16,14,-2,NTPC,GoI,Power,137580,16.38,132669,18.95,16676,15,13.95,12.12,9376,23.29,4458,210707,1.56,356845,22,2.75,135374,7,12.99,9.01,NAVL,NAP,141394,35.22
17,20,3,Vedanta,Anil Agarwal,Metals & Mining,137381,51.55,132732,50.8,18802,12,62.06,13.69,4797,10.89,15592,53581,0.82,145680,46,1.23,65383,26,37.14,29.37,8129,123,118262,17.59
18,16,-2,Infosys,"Diversified
                                              *",Infotech,123936,20.71,121641,21.07,22110,10,14.26,17.84,200,0.64,17472,5474,0.07,83998,65,-0.46,67011,22,32.34,39.66,314015,3,684684,-7.58
19,15,-4,Bharti Airtel,Mittal brothers & family,Telecommunication,122048,8.6,116547,15.83,4255,54,0,3.49,16616,29.31,13494,169678,2.55,274268,26,5.53,66554,23,11.43,11.26,14774,86,409262,17.31
20,17,-3,Coal India,GoI,Metals & Mining,111310,15.8,109714,21.87,17358,13,36.68,15.59,541,2.19,29179,3514,0.08,122082,53,7.41,43143,42,43.63,20.59,251320,4,115608,59.72
21,30,9,Steel Authority of India,GoI,Iron & Steel,105033,57.96,103477,49.72,12243,23,195.16,11.66,1698,8.09,786,17284,0.32,80950,67,-9.42,54212,32,24.58,21.13,62181,19,37655,-31.48
22,25,3,Grasim Industries,Aditya Birla Group,Diversified,98340,27.46,89073,27.3,7550,32,75.38,7.68,4776,34.78,3253,74733,0.99,249863,29,7.55,75698,19,15.87,8.86,23591,50,106772,-3.17
23,31,8,"Nayara Energy
                                                      ^",MNC,Oil & gas,97354,50.51,93889,49.65,921,174,101,0.95,1840,39.25,2529,18358,0.85,48987,96,4.93,21642,75,4.35,6.4,4382,188,NAP,NAP
24,34,10,GAIL (India),GoI,Oil & Gas,95970,60.56,92770,61.7,12256,22,99.73,12.77,202,1.34,2804,9216,0.14,80013,70,19.55,64114,27,20.98,21.37,13935,88,62828,-2.14
25,26,1,Mahindra & Mahindra,M&M Group,Auto,94407,22.7,90171,21.4,6577,34,262.89,6.97,5018,34.58,11118,77605,1.65,142586,48,2.4,47123,40,16.35,10.93,21297,57,124049,56.36
26,19,-7,Canara Bank,GoI,Banking,94257,0.98,70614,0.51,6125,37,111.89,6.5,43035,NAP,182391,1132626,0,1257664,7,6.62,61455,30,10.03,0.5,86919,15,40385,40.02
27,28,1,Maruti Suzuki India,MNC,Auto,90330,23.39,88330,25.52,3880,60,-11.61,4.29,127,2.22,3042,426,0.01,58025,87,5.09,55334,31,5.24,5.83,16259,79,245546,25.97
28,18,-10,Punjab National Bank,GoI,Banking,88571,-6.48,76242,-6.95,3861,61,50.69,4.36,46823,NAP,134194,1213606,0,1340471,6,4.64,90533,13,4.44,0.29,103144,12,39633,3.39
29,21,-8,Bank of Baroda,GoI,Banking,87780,-2,73385,-1.25,7850,31,407.19,8.94,38815,NAP,130229,1185331,0,1343104,5,11.42,91868,12,8.37,0.62,NAVL,NAP,56318,53.63
30,27,-3,HCL Technologies,Shiv Nadar,Infotech,86785,13.73,85651,13.63,13499,20,21.12,15.55,319,1.55,12636,6343,0.1,70907,78,1.59,61914,29,22.2,24.59,112498,9,291346,-8.28
31,23,-8,Axis Bank,"Diversified
                                              *",Banking,86114,10.44,68846,6.91,14119,17,96.22,16.4,34923,NAP,112344,1020692,0,1195726,10,19.45,118261,9,12.77,1.29,85815,16,223726,20.59
32,22,-10,Union Bank of India,GoI,Banking,81754,-2.23,68230,-1.56,5265,43,83.88,6.44,40178,NAP,119758,1085613,0,1196965,9,10.25,66104,24,8.27,0.46,75201,17,28662,21.74
33,32,-1,Wipro,Azim Premji,Infotech,81416,26.6,79312,28.06,12230,24,13.27,15.02,533,3.19,10384,17593,0.27,85887,64,27.01,65403,25,20.35,20.45,247073,5,284287,-40.42
34,29,-5,Power Finance Corporation,GoI,NBFC,76345,6.47,76262,6.43,14015,18,19.3,18.36,44709,NAP,6685,660476,9.21,756751,12,2.06,71676,20,28.34,9.38,501,381,30494,-5.58
35,33,-2,Bajaj Finserv,Bajaj Group,NBFC,68439,12.95,68406,12.9,4557,50,1.93,6.66,9629,NAP,4403,161179,4,227499,35,21.82,40247,45,21.86,11.43,114,397,247652,-3.88
36,35,-1,Samvardhana Motherson International,Vivek Chaand Sehgal,Auto Ancillaries,64663,11.12,63536,10.75,874,181,-15.92,1.35,543,12.29,4999,14130,0.69,38062,111,26.29,20588,80,7.13,7.47,102422,13,61194,-49.18
37,37,0,ITC,"Diversified
                                              *",FMCG,63208,20.28,60668,23.13,15243,16,15.82,24.12,60,0.29,4654,249,0,63473,80,3.29,62456,28,25.25,33.49,23829,48,329683,60.8
38,36,-2,Kotak Mahindra Bank,Uday Kotak,Banking,59051,4.69,33740,2.8,12089,25,21.01,20.47,11553,NAP,52665,365235,0,546715,16,14.13,96665,11,13.14,2.36,90000,14,365100,-8.57
39,NAP,R-E 2011,"Adani Wilmar
                                                      (**)",Adani Group,Food & Agri Products,53808,45.5,51879,44.38,804,197,10.33,1.49,541,31.15,4494,2701,0.36,10808,200,60.14,7606,163,14.2,18.22,2409,271,79083,153.45
40,42,2,UltraTech Cement,Aditya Birla Group,Cement,53651,18.82,52599,17.6,7344,33,34.43,13.69,945,8.2,359,11299,0.22,62657,82,-6.27,50435,35,15.5,14.62,21921,53,191756,-13.14
41,40,-1,Hindustan Unilever,MNC,FMCG,52909,10.32,52446,11.52,8879,29,11.06,16.78,106,0.84,3846,1043,0.02,53398,90,2.8,49061,37,18.38,22.76,8480,122,554507,6.78
42,38,-4,Jindal Steel & Power,Savitri Devi Jindal,Iron & Steel,51993,48.92,51166,47.97,5753,40,58.33,11.07,1888,13.86,3669,13502,0.38,51135,94,-16.73,35625,50,20.07,20.68,6200,149,42641,7.33
43,NAP,R-E 2020,GIC,GoI,Financial Services,49739,2.36,49585,2.06,2386,81,19.82,4.8,0,NAP,21451,0,0,60045,85,12.28,36008,49,6.42,6.61,NAVL,NAP,22036,-5.23
44,45,1,"Hyundai Motor India
                                                      ^",MNC,Auto,48028,16.29,47378,15.64,2902,72,54.24,6.04,132,2.4,14139,1178,0.07,19546,145,7.86,16856,94,18.04,20.73,NAVL,NAP,NAP,NAP
45,46,1,UPL,R.D. Shroff,"Fert, Agrochem",46655,19.65,46240,19.5,3626,63,26.3,7.77,2295,24.93,6120,26746,1.08,56523,89,13.19,24661,68,19.48,14.8,5456,161,56255,2.02
46,39,-7,Bank of India,GoI,Banking,46373,-2.64,38281,-6.3,3493,65,67.69,7.53,24083,NAP,91709,656802,0,745089,13,1.38,49540,36,7.48,0.47,51825,21,20696,4.17
47,44,-3,Power Grid Corporation of India,GoI,Power,46342,11.66,41616,4.99,16824,14,39.78,36.3,8036,22.45,5048,134696,1.77,215226,39,-1.08,76247,18,19.39,11.25,8536,120,149824,30.61
48,52,4,Tata Power Company,Tata Group,Power,46298,32.39,43095,30.11,1741,97,54.47,3.76,3859,59.25,6641,51195,2.28,88375,62,10.35,22442,72,9.63,7.9,21636,54,73763,2.11
49,41,-8,Indian Bank,GoI,Banking,46268,2.32,38862,-0.63,4142,56,31.52,8.95,22129,NAP,79968,610724,0,674096,15,7.76,38741,46,11.03,0.64,39803,23,20583,53.92
50,47,-3,Tech Mahindra,Mahindra Group,Infotech,45761,18.42,44646,17.94,5566,42,25.7,12.16,163,2.03,3975,2618,0.1,33667,114,7.73,26886,61,21.76,23.78,104583,11,126060,-27.4
51,59,8,Petronet LNG,GoI,Oil & Gas,43565,65.01,43169,65.89,3438,66,16.97,7.89,317,6.05,4326,3439,0.25,18098,148,10.06,13668,111,26.99,28.24,532,379,32191,-6.87
52,50,-2,Sun Pharmaceuticals Industries,Dilip Shanghvi,"Drugs, pharma",39838,13.84,38654,15.39,3273,67,12.7,8.22,127,2.24,5033,1290,0.03,53376,91,-1.97,48011,38,14.5,17.97,19021,66,208246,26.56
53,48,-5,REC,GoI,NBFC,39339,10.58,39276,10.46,10036,27,19.78,25.51,22051,NAP,2660,333043,6.49,384357,21,2.91,51314,34,21.11,9.1,442,385,25694,0.64
54,43,-11,Vodafone Idea,MNC,Telecommunication,38849,-12.98,38516,-8.19,-28245,500,0,NAP,20981,131.15,3497,40647,0,159273,43,-6.54,-61965,500,NAP,NAP,NAVL,NAP,31106,-15.27
55,49,-6,IndusInd Bank,Hinduja Group,Banking,38230,7.69,30822,6.29,4805,48,63.99,12.57,15822,NAP,68585,340673,0,402333,19,10.76,47719,39,10.57,1.26,33582,25,75633,-6.24
56,51,-5,"Nabard
                                                      ^",GoI,NBFC,37175,6.19,36905,6,5179,45,18.06,13.93,26574,NAP,6073,646380,0,758469,11,15.15,90061,14,6.08,0.73,NAVL,NAP,NAP,NAP
57,53,-4,New India Assurance Company,GoI,Insurance,35916,8.52,35821,8.33,195,386,-88.14,0.54,0,NAP,12629,0,0,39909,106,3.55,25805,65,0.69,0.47,13929,89,18381,-41.68
58,56,-2,Bajaj Auto,Bajaj Group,Auto,35637,20.63,33145,19.48,6166,36,26.95,17.3,9,0.16,958,123,0,30020,122,9.42,29860,59,19.01,23.39,7317,134,105551,2.19
59,80,21,Titan Company,Tata Group,Gems & Jewellery,33828,55.83,28799,33.06,2173,87,123.33,6.42,218,6.63,1573,7275,0.78,16811,156,26.4,9303,143,26.17,20.76,7263,135,214331,14.81
60,58,-2,Adani Power,Adani Group,Power,31686,12.56,27711,5.68,4912,47,286.74,15.5,4095,41.72,2365,48744,2.58,73270,76,2.89,18457,87,17.84,12.71,NAVL,NAP,88754,224.7
61,63,2,Avenue Supermarts,R.K. Damani,Retail Trade,31588,28.2,30976,28.3,1493,117,35.75,4.73,54,2.15,299,647,0.05,14330,165,13.91,13678,110,11.54,15.74,11312,101,272254,-5.21
62,55,-7,Max Financial Services,"Diversified
                                              *",Diversified,31188,-0.32,31182,-0.3,253,361,-40.44,0.81,25,NAP,600,522,0.13,5007,299,38.76,3935,253,6.44,7.94,NAVL,NAP,28899,-28.46
63,66,3,Asian Paints,"Diversified
                                              *",FMCG,30838,39.31,29101,34.03,3031,69,-3.46,9.83,95,2.04,864,1587,0.11,16009,159,10.06,13812,109,23.18,28.8,7423,133,302270,0.24
64,68,4,"MMTC-PAMP India
                                                      ^",MNC,Mining & minerals,30488,43.8,29278,43.71,42,437,"1,373.85",0.14,68,46.47,80,611,1.75,992,489,-0.78,348,472,24.92,17.96,NAVL,NAP,NAP,NAP
65,54,-11,Hero MotoCorp,Munjal family,Auto,30078,-5.33,29551,-4.55,2317,83,-20.59,7.7,53,1.64,300,605,0.04,16936,155,2.86,15847,97,14.9,18.79,9173,109,52027,3.33
66,62,-4,Ambuja Cements,"MNC
                                              (Adani Group bought Ambuja-ACC in May 2022)",Cement,29868,20.81,28965,18.15,2780,73,17.54,9.31,146,2.39,11694,477,0.02,33294,117,11.42,25354,66,15.43,21.37,4723,179,77109,32.89
67,101,34,Indus Towers,"Diversified
                                              *",Telecom (Ancillaries),28176,85.16,27717,98.63,6373,35,68.65,22.62,1603,10.76,980,19726,0.89,44313,99,11.45,22151,74,33.52,23.87,3248,221,60720,-30.92
68,94,26,NMDC,GoI,Metals & Mining,27801,75.03,25882,68.39,9379,28,49.43,33.74,39,0.31,7978,3491,0.1,39734,107,20.42,34987,52,28.95,35.8,5539,159,39349,7.44
69,77,8,Oil India,GoI,Oil & Gas,27427,40.68,25906,47.06,5622,41,59.35,20.5,940,8.95,1550,16721,0.55,51084,95,11.44,30562,58,24.78,21.32,NAVL,NAP,23212,-8.29
70,70,0,Ashok Leyland,Hinduja Group,Auto,26725,29.88,26596,34.64,-359,471,0,NAP,1869,79.23,2099,24145,3.31,33356,116,-1.38,7304,169,NAP,6.13,10101,104,39945,7.03
71,97,26,Interglobe Aviation,Rahul Bhatia,Airline Services,26658,70.05,25931,77.12,-6162,497,0,NAP,2386,414.77,10120,36878,0,34948,113,4.87,-5988,496,NAP,NAP,26164,40,73223,-18.37
72,71,-1,Sundaram Clayton,TVS-Venu Srinivasan,Auto Ancillaries,26010,27.58,25591,26.07,441,283,36.17,1.69,985,33.64,3934,16593,3.27,24154,131,36.26,5079,222,20.65,11.44,1606,319,8312,24.55
73,60,-13,Central Bank of India,GoI,Banking,25889,0.25,22903,0.32,1076,153,0,4.16,13361,NAP,53097,350828,0,388320,20,4.71,23834,71,4.65,0.28,30289,28,17015,-6.65
74,69,-5,Hindustan Aeronautics,GoI,Capital Goods,25013,20.32,24620,7.59,5080,46,56.5,20.31,65,1.2,14348,49,0,33416,115,26.57,19313,82,29.25,17.69,25412,46,57658,97.04
75,93,18,"Suzuki Motor Gujarat
                                                      ^^ ^",MNC,Auto,24793,56.05,24440,54.2,23,447,-50.05,0.09,1,0.05,2734,0,0,12766,179,-1.26,12757,113,0.25,0.63,NAVL,NAP,NAP,NAP
76,78,2,TVS Motor Company,TVS-Venu Srinivasan,Auto,24651,26.62,24355,25.41,757,208,27.36,3.07,940,34.64,1536,15827,3.6,21131,139,27.34,4399,238,17.77,10.94,5161,169,36656,72.02
77,84,7,EID Parry (India),Murugappa Group,Sugar,23930,32.27,23528,26.79,907,176,102.7,3.79,152,6.43,1839,1259,0.24,9386,219,16.07,5326,215,31.76,36.64,2068,294,9013,38.39
78,61,-17,IDBI Bank,Diversified,Banking,23278,-6.24,18319,-8.23,2534,78,67.35,10.88,9125,NAP,26800,247195,0,302665,24,1.24,34104,54,3.32,0.84,17430,73,46466,-16.38
79,57,-22,Aurobindo Pharma,P.V. Ramprasad Reddy,"Drugs, Pharma",23075,-20.8,23455,-5.32,2648,76,-50.36,11.48,49,1.18,4190,2851,0.12,27638,125,0.43,24576,70,11.38,12.41,15431,81,35611,-21.78
80,75,-5,Cipla,Yusuf Hamied family,"Drugs, Pharma",22769,16.06,21763,13.59,2517,79,4.65,11.05,106,2.43,1928,1056,0.05,22426,138,7.41,20842,78,13.07,16.83,25927,41,79013,28.9
81,76,-5,Aditya Birla Capital,Aditya Birla Group,NBFC,22582,15.56,22232,15.43,1706,104,51.43,7.55,3480,NAP,2638,58425,3.77,75516,74,10.61,15492,99,11.36,8.2,NAVL,NAP,26545,17.44
82,90,8,"Patanjali Foods
                                                      (**) ^^",Patanjali Ayurved,FMCG,22498,38.77,22093,39.83,806,195,18.44,3.58,359,24.05,2016,3068,0.55,10215,208,26.77,6171,192,15.76,15.68,3547,213,35094,51.65
83,73,-10,Dr Reddys Laboratories,Dr Reddy's Holdings,"Drugs, Pharma",22454,11.28,21545,13.11,2183,86,11.83,9.72,96,2.54,2419,3385,0.18,22790,137,9.12,19212,85,11.84,14.46,20122,61,72295,-7.07
84,64,-20,Yes Bank,"Diversified
                                              *",Banking,22424,-3.12,19019,-5.09,1064,156,0,4.75,12528,NAP,46748,269403,0,318578,23,16.44,33699,55,2.74,0.36,24346,47,35226,18.75
85,124,39,Jindal Stainless,Savitri Devi Jindal,Iron & Steel,22141,80.97,21223,74.13,1881,94,348.74,8.5,332,11.12,224,3196,0.62,8569,227,26.3,5186,219,45.5,36.27,1761,305,8118,-28.27
86,87,1,Apollo Tyres,Onkar Kanwar,Tyres & Tubes,21847,26.97,20948,20.41,639,227,82.35,2.92,465,17.97,1081,6985,0.59,20286,141,0.41,11749,125,5.51,6.49,15979,80,14071,34.08
87,65,-22,Indian Overseas Bank,GoI,Banking,21641,-3.65,16736,-1.41,1709,103,125.39,7.9,10419,NAP,36951,265284,0,299656,25,9.27,20475,81,4.73,0.6,22363,52,35322,-13.1
88,88,0,Bharat Heavy Electricals,GoI,Capital Goods,21084,22.65,21211,22.55,446,281,0,2.12,448,54.14,7154,4830,0.18,39667,108,-0.28,26507,62,1.56,2.19,30758,27,19497,3.88
89,72,-17,Reliance Infrastructure,"Diversified
                                              *",Power,20549,-16.17,19689,11.02,-938,480,0,NAP,2060,112.73,1241,12718,1.01,36968,112,2.54,12564,116,NAP,NAP,5157,171,3004,70.52
90,92,2,MRF,K.M. Mammen,Tyres & Tubes,20490,27.91,19317,19.51,669,219,-47.6,3.27,263,12.76,180,3229,0.23,17768,151,9.7,14032,108,4.88,6.89,18734,67,31873,15.61
91,82,-9,IDFC First Bank,"Diversified
                                              *",Banking,20345,11.91,17173,7.54,132,406,-72.62,0.65,7465,NAP,15702,158502,0,190244,41,16.6,21082,76,0.57,0.07,27804,33,27258,10.98
92,96,4,"Indian Railway Finance Corporation
                                                      ^^",GoI,NBFC,20302,28.73,20299,28.72,6090,39,37.9,30,14075,NAP,303,388440,9.47,429436,18,19.6,40996,44,15.84,5.11,NAVL,NAP,28747,-2.38
93,146,53,Allcargo Logistics,Shashi Kiran Shetty,Transport Logistics,20296,92.06,20072,91.2,926,173,435.41,4.56,120,8.03,644,2317,0.73,5922,273,25.04,3162,290,35.43,27.55,959,362,8401,59.12
94,NAP,R-E 2020,Rail Vikas Nigam,GoI,"Engg, construction",20285,25.13,19382,25.82,1183,139,19.27,5.83,564,47.65,6824,6643,1.04,13335,172,11.5,6397,188,19.66,16.33,324,389,7016,17.81
95,74,-21,LIC Housing Finance,GoI,NBFC,20005,0.63,19978,0.46,2286,84,-16.6,11.43,14151,NAP,985,223757,9.04,248511,30,8.74,24751,67,10.08,7.1,2467,269,20832,-0.62
96,116,20,"Toyota Kirloskar Motor
                                                      ^^ ^",MNC,Auto,19727,48.66,19563,48.41,519,259,0,2.63,45,4.22,4949,3565,1.18,7621,240,5.74,3027,296,18.76,10.05,NAVL,NAP,NAP,NAP
97,111,14,Coromandel International,Murugappa Group,"Fert, Agro Chem",19374,41.18,19111,34.75,1528,113,15,7.89,75,3.51,1753,395,0.06,6777,258,21.91,6358,189,26.56,34.45,5042,175,25996,24.58
98,79,-19,Reliance Capital,"Diversified
                                              *",NBFC,19301,-0.04,19272,0.11,-8116,498,0,NAP,2218,NAP,1570,26839,0,7815,233,-51.42,-19820,498,NAP,NAP,NAVL,NAP,376,-38.71
99,85,-14,Shriram Transport Finance Company,Shriram Group,NBFC,19274,10.54,19255,10.52,2721,74,8.89,14.12,9773,NAP,16355,114846,4.4,140940,49,9.88,26094,63,11.33,9.9,25456,45,34066,-12.79
100,125,25,"Adani Enterprises
                                                      (**)",Adani Group,Wholesale Trade,19218,60.26,14272,22.03,777,202,-15.83,4.04,2526,68.02,3916,41604,1.87,75588,73,106.11,22257,73,2.41,6.57,4508,183,255215,131.52
101,120,19,Chambal Fertilisers & Chemicals,K.K. Birla Group,"Fert, Agrochem",18770,46.19,16069,26.34,1566,111,-5.37,8.34,109,4.81,554,4264,0.66,10741,201,16.89,6400,187,26.89,23.45,1035,358,15495,-8.4
102,138,36,"Intas Pharmaceuticals
                                                      ^",Hasmukh Chudgar,Pharma,18767,11.56,18349,11.52,2679,75,17.01,14.28,112,2.81,2255,2359,0.16,18097,149,-1.79,14681,102,19.99,18.56,NAVL,NAP,NAP,NAP
103,100,-3,Adani Ports & Special Economic Zone,Adani Group,Infra Development,18282,20,15934,26.97,4728,49,-5.33,25.86,2541,29.98,10492,47619,1.24,87625,63,26.88,38083,47,14,10.44,2736,252,160417,17.63
104,99,-5,Zydus Lifesciences,Zydus Family Trust,Pharma,18211,24.68,15265,5.98,4487,51,110.32,24.64,127,3.8,1107,4221,0.25,23658,135,18.96,17000,93,14.85,14.43,23743,49,40037,-12.82
105,127,22,Gujarat State Petronet,Govt of Gujarat,Oil & Gas,18158,55.64,17991,55.96,1638,110,1.96,9.02,112,3.2,108,713,0.09,11443,193,7.18,7919,159,31.18,35.16,263,390,14956,-29.59
106,83,-23,UCO Bank,GoI,Banking,18082,1.19,14981,3.7,965,164,412.03,5.33,8508,NAP,26148,237581,0,267659,28,5.69,20737,79,3.49,0.37,21617,55,14633,-8.18
107,86,-21,Tata Communications,Tata Group,Telecommunication,17099,-1.44,16725,-2.2,1482,118,18.48,8.67,360,8.6,743,9122,9.83,13382,170,-10.15,928,445,35.53,13.3,NAVL,NAP,33558,1.69
108,95,-13,Lupin,D.B. Gupta family,"Drugs, Pharma",16814,6.52,16405,8.19,-1528,490,0,NAP,143,65.25,1098,4158,0.34,17099,153,-13.64,12153,122,NAP,-6.69,19453,65,34056,-25.59
109,98,-11,Exide Industries,Rajan Raheja Group,Storage Batteries,16783,59.97,12789,23.45,4367,53,439.19,26.02,64,4.59,199,520,0.05,11220,194,-53.02,10584,135,48.55,5.72,4229,192,13451,-6.33
110,102,-8,"Bandhan Bank
                                                      ^^","Diversified
                                              *",Banking,16694,14.76,13871,10.75,126,412,-94.3,0.75,5157,NAP,9321,116252,0,139084,50,20.71,17381,91,0.72,0.1,60211,20,47173,-17
111,108,-3,ACC,"MNC
                                              (Adani Group bought Ambuja-ACC in May 2022)",Cement,16544,19.29,16152,17.16,1863,95,30.26,11.26,55,1.86,7524,126,0.01,14653,163,12.55,14309,104,13.8,18.51,6082,150,42178,3.47
112,89,-23,Federal Bank,"Diversified
                                              *",Banking,16502,1.33,14382,0.47,1970,90,18.35,11.94,7959,NAP,21136,201265,0,226601,36,10.37,19251,84,11,0.91,12641,95,21121,36.46
113,119,6,Godrej Industries,Godrej Group,Diversified,16459,26.93,14130,51.39,654,222,95.36,3.97,623,64.94,1824,14565,2.04,27797,124,17.69,7127,173,13.52,9.61,1069,355,17063,-25.86
114,105,-9,Bharat Electronics,GoI,Capital Goods,15880,10.6,15368,8.93,2399,80,14.29,15.11,9,0.26,7564,53,0,14329,166,13.18,12286,121,20.17,23.55,8853,113,59232,63.01
115,107,-8,Shree Cement,H.M. Bangur,Cement,15735,12.81,15010,10.69,2332,82,2.02,14.82,216,5.83,290,2129,0.12,19806,144,10.74,17460,89,14.22,16.54,19464,64,84368,-21.63
116,103,-13,Bank of Maharashtra,GoI,Banking,15674,7.97,13019,9.7,1153,142,101.84,7.36,6974,NAP,19916,210022,0,230796,34,17.24,12485,119,9.77,0.54,12721,94,12321,1.29
117,405,288,Info Edge (India),Sanjiv Bikhchandani%comma% Hitesh Oberoi,Online Classifieds,15399,467.93,1589,40.87,12760,21,800.9,82.86,11,2.56,368,64,0,18123,147,226.99,17241,92,22.04,24.25,4785,177,58540,-37.64
118,110,-8,Piramal Enterprises,Ajay Piramal,Diversified,15373,11.66,13993,9.24,1923,92,44.34,12.51,4480,NAP,7185,55703,1.57,92742,60,23.87,35489,51,5.75,8.46,13561,90,46490,-39.53
119,142,23,Apollo Hospitals Enterprise,Prathap C Reddy family,Healthcare,15108,40.01,14663,38.85,1056,157,601.86,6.99,379,17.33,1036,4068,0.72,10587,204,10.57,5616,205,17.26,16.67,71113,18,63933,4.45
120,117,-3,Kalpataru Power Transmission,Munot family,Capital Goods,15027,13.73,14777,14.12,540,252,-19.48,3.6,522,40.3,1194,3838,0.9,9792,213,14.3,4279,241,9.67,11.21,3072,234,5744,17.89
121,109,-12,Bombay Burmah Trading Corporation,Nusli Wadia,Diversified,14967,8.69,14544,8.57,63,432,-82.84,0.42,252,15.71,4567,5880,1.07,12732,180,27.46,5497,212,14.74,18,3087,232,6812,-19.45
122,112,-10,"Nestle India
                                                      ^^",MNC,FMCG,14892,9.78,14709,10.18,2145,89,3,14.4,201,6,735,266,0.13,5655,280,3.62,2084,354,104.53,55.52,NAVL,NAP,178241,8.61
123,106,-17,Cholamandalam Financial Holdings,Murugappa Group,NBFC,14735,5.55,14644,5.35,1023,162,24.06,6.94,4328,NAP,5448,69229,10.74,82857,66,10.25,6446,185,37.9,10.18,9900,106,12155,-8.53
124,91,-33,"Citibank N. A.
                                                      ^^ ^",MNC,Banks,14660,-5.59,11854,-2.79,3727,62,-8.94,25.42,2636,NAP,52556,183977,0,233265,33,7.55,29818,60,12.85,1.66,NAVL,NAP,NAP,NAP
125,161,36,National Aluminium Company,GoI,Metals & Mining,14595,60.24,14181,58.34,2951,71,127.13,20.22,23,0.51,3706,77,0.01,13334,173,12.84,12552,117,25.41,31.63,5525,160,17368,-26.03
126,122,-4,Torrent Power,Samir & Sudhir Mehta,Power,14525,17.86,14278,17.13,454,280,-64.83,3.13,628,27.42,352,9143,0.92,20534,140,6.31,9943,140,8.73,12.21,7603,132,24770,1.87
127,114,-13,"Ford India
                                                      ^^ ^",MNC,Auto,14449,7.56,10202,-15.39,-4229,496,0,NAP,358,NAP,1062,2477,2.32,3665,358,-28.65,1067,438,NAP,NAP,NAVL,NAP,NAP,NAP
